vi	V(si)	I(Si)
-3.940000000000023e+000	-3.940000e+000	-2.523940e-009
-3.930000000000023e+000	-3.930000e+000	-2.523930e-009
-3.920000000000023e+000	-3.920000e+000	-2.523921e-009
-3.910000000000023e+000	-3.910000e+000	-2.523911e-009
-3.900000000000023e+000	-3.899999e+000	-2.523900e-009
-3.890000000000024e+000	-3.889999e+000	-2.523890e-009
-3.880000000000024e+000	-3.879999e+000	-2.523880e-009
-3.870000000000024e+000	-3.869999e+000	-2.523871e-009
-3.860000000000024e+000	-3.859999e+000	-2.523861e-009
-3.850000000000025e+000	-3.849999e+000	-2.523850e-009
-3.840000000000025e+000	-3.839999e+000	-2.523840e-009
-3.830000000000025e+000	-3.829999e+000	-2.523831e-009
-3.820000000000025e+000	-3.819999e+000	-2.523821e-009
-3.810000000000025e+000	-3.809999e+000	-2.523810e-009
-3.800000000000026e+000	-3.799999e+000	-2.523801e-009
-3.790000000000026e+000	-3.789999e+000	-2.523790e-009
-3.780000000000026e+000	-3.779999e+000	-2.523781e-009
-3.770000000000026e+000	-3.770000e+000	-2.523771e-009
-3.760000000000026e+000	-3.760000e+000	-2.523761e-009
-3.750000000000027e+000	-3.750000e+000	-2.523750e-009
-3.740000000000027e+000	-3.740000e+000	-2.523740e-009
-3.730000000000027e+000	-3.730000e+000	-2.523731e-009
-3.720000000000027e+000	-3.720000e+000	-2.523721e-009
-3.710000000000028e+000	-3.710000e+000	-2.523711e-009
-3.700000000000028e+000	-3.700000e+000	-2.523700e-009
-3.690000000000028e+000	-3.690000e+000	-2.523690e-009
-3.680000000000028e+000	-3.680000e+000	-2.523681e-009
-3.670000000000028e+000	-3.670000e+000	-2.523671e-009
-3.660000000000029e+000	-3.660000e+000	-2.523660e-009
-3.650000000000029e+000	-3.649999e+000	-2.523650e-009
-3.640000000000029e+000	-3.639999e+000	-2.523640e-009
-3.630000000000029e+000	-3.629999e+000	-2.523631e-009
-3.620000000000029e+000	-3.619999e+000	-2.523621e-009
-3.610000000000030e+000	-3.609999e+000	-2.523610e-009
-3.600000000000030e+000	-3.599999e+000	-2.523600e-009
-3.590000000000030e+000	-3.589999e+000	-2.523591e-009
-3.580000000000030e+000	-3.579999e+000	-2.523581e-009
-3.570000000000031e+000	-3.569999e+000	-2.523570e-009
-3.560000000000031e+000	-3.559999e+000	-2.523560e-009
-3.550000000000031e+000	-3.549999e+000	-2.523550e-009
-3.540000000000031e+000	-3.539999e+000	-2.523541e-009
-3.530000000000031e+000	-3.529999e+000	-2.523531e-009
-3.520000000000032e+000	-3.520000e+000	-2.523521e-009
-3.510000000000032e+000	-3.510000e+000	-2.523510e-009
-3.500000000000032e+000	-3.500000e+000	-2.523500e-009
-3.490000000000032e+000	-3.490000e+000	-2.523491e-009
-3.480000000000032e+000	-3.480000e+000	-2.523481e-009
-3.470000000000033e+000	-3.470000e+000	-2.523471e-009
-3.460000000000033e+000	-3.460000e+000	-2.523460e-009
-3.450000000000033e+000	-3.450000e+000	-2.523450e-009
-3.440000000000033e+000	-3.440000e+000	-2.523441e-009
-3.430000000000034e+000	-3.430000e+000	-2.523431e-009
-3.420000000000034e+000	-3.420000e+000	-2.523420e-009
-3.410000000000034e+000	-3.410000e+000	-2.523410e-009
-3.400000000000034e+000	-3.399999e+000	-2.523400e-009
